Date,Close
30 03 2021,735.8134766
31 03 2021,707.3745117
01 04 2021,704.1066895
05 04 2021,686.5128784
06 04 2021,682.0848389
07 04 2021,685.3762817
08 04 2021,678.5566406
09 04 2021,673.3234253
12 04 2021,647.4182739
13 04 2021,663.1887207
15 04 2021,677.2778931
16 04 2021,676.5911865
19 04 2021,668.8953857
20 04 2021,658.9500732
22 04 2021,673.6786499
23 04 2021,669.7242432
26 04 2021,665.2962036
27 04 2021,681.3508301
28 04 2021,699.3945313
29 04 2021,697.3580322
30 04 2021,668.8481445
03 05 2021,669.866272
04 05 2021,657.5056152
05 05 2021,664.2542725
06 05 2021,663.4492188
07 05 2021,670.0083618
10 05 2021,672.423645
11 05 2021,664.7042236
12 05 2021,662.7861938
14 05 2021,656.7952881
17 05 2021,682.0848389
18 05 2021,699.3471069
19 05 2021,690.5858154
20 05 2021,678.5566406
21 05 2021,709.1030273
24 05 2021,715.0939331
25 05 2021,700.4127197
26 05 2021,699.5129395
27 05 2021,702.1650391
28 05 2021,712.015625
31 05 2021,717.8881226
01 06 2021,715.9226074
02 06 2021,712.276062
03 06 2021,720.1139526
04 06 2021,710.831604
07 06 2021,710.3106689
08 06 2021,702.3544922
09 06 2021,701.052063
10 06 2021,701.4071655
11 06 2021,703.9172363
14 06 2021,700.6494751
15 06 2021,705.7642822
16 06 2021,703.0884399
17 06 2021,694.3270874
18 06 2021,700.8152466
21 06 2021,705.0300903
22 06 2021,702.7095947
23 06 2021,703.5146484
24 06 2021,713.3417358
25 06 2021,717.5328979
28 06 2021,714.3361816
29 06 2021,714.4313965
30 06 2021,712.4574585
01 07 2021,707.1540527
02 07 2021,704.1338501
05 07 2021,711.2921143
06 07 2021,729.9608765
07 07 2021,732.2438965
08 07 2021,723.1829834
09 07 2021,714.4074707
12 07 2021,707.2730103
13 07 2021,714.3361206
14 07 2021,713.0519409
15 07 2021,723.3019409
16 07 2021,724.086731
19 07 2021,699.6627808
20 07 2021,686.4161987
22 07 2021,689.0559692
23 07 2021,686.2260742
26 07 2021,682.3258057
27 07 2021,684.7991333
28 07 2021,674.1209717
29 07 2021,674.572876
30 07 2021,678.4730835
02 08 2021,676.6657104
03 08 2021,682.3970947
04 08 2021,696.9515991
05 08 2021,706.2502441
06 08 2021,709.9603882
09 08 2021,715.3112793
10 08 2021,717.0949707
11 08 2021,711.0541992
12 08 2021,714.1221313
13 08 2021,725.9179077
16 08 2021,728.0107422
17 08 2021,720.4243774
18 08 2021,719.6395874
20 08 2021,720.4718628
23 08 2021,725.1569214
24 08 2021,741.4475098
25 08 2021,740.7578125
26 08 2021,739.5212402
27 08 2021,736.5008545
30 08 2021,745.9185181
31 08 2021,752.1731567
01 09 2021,751.0791626
02 09 2021,755.7880859
03 09 2021,749.6286011
06 09 2021,744.7056274
07 09 2021,746.394165
08 09 2021,749.7949829
09 09 2021,746.0848999
13 09 2021,739.8779297
14 09 2021,736.5484619
15 09 2021,735.7160645
16 09 2021,741.9707031
17 09 2021,752.5299072
20 09 2021,741.9231567
21 09 2021,738.1656494
22 09 2021,729.4851685
23 09 2021,746.7509155
24 09 2021,761.7572632
27 09 2021,772.9585571
28 09 2021,768.1782837
29 09 2021,758.0948486
30 09 2021,758.618103
01 10 2021,752.7915039
04 10 2021,754.2421265
05 10 2021,758.855896
06 10 2021,768.1069946
07 10 2021,766.0141602
08 10 2021,762.2803955
11 10 2021,777.0966187
12 10 2021,775.098877
13 10 2021,779.7601929
14 10 2021,802.5907593
18 10 2021,794.4573364
19 10 2021,803.2090454
20 10 2021,796.145813
21 10 2021,797.3111572
22 10 2021,799.4277344
25 10 2021,788.1313477
26 10 2021,786.1098633
27 10 2021,781.3773193
28 10 2021,757.9758911
29 10 2021,752.862854
01 11 2021,763.5408936
02 11 2021,764.2305908
03 11 2021,752.1968384
04 11 2021,758.142395
08 11 2021,761.138916
09 11 2021,747.821106
10 11 2021,739.7352295
11 11 2021,736.4295654
12 11 2021,738.6651001
15 11 2021,740.6865234
16 11 2021,736.2868652
17 11 2021,728.105896
18 11 2021,732.1963501
22 11 2021,720.7572021
23 11 2021,720.852478
24 11 2021,722.0415649
25 11 2021,725.7990112
26 11 2021,708.6522827
29 11 2021,714.0507813
30 11 2021,710.3883667
01 12 2021,715.6680298
02 12 2021,725.7039795
03 12 2021,719.9011841
06 12 2021,715.2637329
07 12 2021,725.6800537
08 12 2021,739.0455322
09 12 2021,726.2271118
10 12 2021,724.1819458
13 12 2021,718.7597046
14 12 2021,714.621582
15 12 2021,713.4562988
16 12 2021,713.5037842
17 12 2021,700.6378174
20 12 2021,678.0926514
21 12 2021,685.7741699
22 12 2021,687.3912964
23 12 2021,686.868103
24 12 2021,684.3948975
27 12 2021,690.0548706
28 12 2021,694.8112183
29 12 2021,691.5056152
30 12 2021,695.1442261
31 12 2021,703.6582031
03 01 2022,722.8024902
04 01 2022,727.0357056
05 01 2022,744.3013916
06 01 2022,732.362854
07 01 2022,737.4997559
10 01 2022,741.590271
11 01 2022,744.8007813
12 01 2022,740.401123
13 01 2022,726.7741699
14 01 2022,734.9313354
17 01 2022,723.6824341
18 01 2022,727.3686523
19 01 2022,722.2317505
20 01 2022,717.7369385
21 01 2022,723.7301025
24 01 2022,707.1065063
25 01 2022,707.7723999
27 01 2022,701.5415039
28 01 2022,695.9766235
31 01 2022,706.654541
01 02 2022,712.0293579
02 02 2022,728.2960815
03 02 2022,720.7572021
04 02 2022,724.871582
07 02 2022,698.3071899
08 02 2022,695.31073
09 02 2022,712.3146973
10 02 2022,725.3947754
11 02 2022,722.4220581
14 02 2022,700.9470215
15 02 2022,721.9226685
16 02 2022,720.9475708
17 02 2022,716.5478516
18 02 2022,719.3303833
21 02 2022,723.9678955
22 02 2022,718.5455322
23 02 2022,713.8843384
24 02 2022,675.119873
25 02 2022,692.5758057
28 02 2022,678.3779907
02 03 2022,653.6448364
03 03 2022,652.0990601
04 03 2022,649.9586792
07 03 2022,630.1246338
08 03 2022,631.5514526
09 03 2022,652.1704712
10 03 2022,662.4202881
11 03 2022,664.3704834
14 03 2022,686.1308594
15 03 2022,677.3077393
16 03 2022,688.7944336
17 03 2022,703.9673462
21 03 2022,707.0351563
22 03 2022,710.6738281
23 03 2022,703.5866699
24 03 2022,686.1784668
25 03 2022,680.5896606
28 03 2022,681.4934692
29 03 2022,690.5305786
30 03 2022,702.4927979
31 03 2022,699.3535767
01 04 2022,716.3101196
04 04 2022,788.0362549
05 04 2022,764.9439697
06 04 2022,737.642334
07 04 2022,721.4232178
08 04 2022,720.4243774
11 04 2022,711.625061
12 04 2022,710.364624
13 04 2022,696.7850952
18 04 2022,663.7283936
19 04 2022,638.4006958
20 04 2022,644.1558838
21 04 2022,653.6924438
22 04 2022,644.7741699
25 04 2022,649.6019287
26 04 2022,652.5985107
27 04 2022,652.8363037
28 04 2022,652.2655029
29 04 2022,658.567749
02 05 2022,667.6523438
04 05 2022,644.9645386
05 05 2022,643.5137329
06 05 2022,626.6999512
09 05 2022,627.7701416
10 05 2022,637.8536987
11 05 2022,641.4447021
12 05 2022,626.9856567
13 05 2022,621.355957
16 05 2022,627.9719849
17 05 2022,632.2543945
18 05 2022,632.2062988
19 05 2022,619.2870483
20 05 2022,635.5985107
23 05 2022,627.442749
24 05 2022,634.6361694
25 05 2022,639.3757324
26 05 2022,657.6119385
27 05 2022,669.8095703
30 05 2022,674.3807373
31 05 2022,668.3179321
01 06 2022,671.1567993
02 06 2022,666.4654541
03 06 2022,664.1558838
06 06 2022,663.265686
07 06 2022,655.6392212
08 06 2022,657.9487915
09 06 2022,662.9047852
10 06 2022,650.1057129
13 06 2022,638.3171387
14 06 2022,631.2921143
15 06 2022,629.1027832
16 06 2022,616.5202637
17 06 2022,620.5861206
20 06 2022,636.1759644
21 06 2022,643.1047974
22 06 2022,640.0734253
23 06 2022,642.4311523
24 06 2022,651.4049683
27 06 2022,652.5837402
28 06 2022,647.6036987
29 06 2022,646.6653442
30 06 2022,648.6141968
01 07 2022,651.3808594
04 07 2022,652.2950439
05 07 2022,650.8275146
06 07 2022,659.8012695
07 07 2022,671.6139526
08 07 2022,672.239502
11 07 2022,676.5940552
12 07 2022,669.6893311
13 07 2022,653.3536377
14 07 2022,650.0817261
15 07 2022,655.3745728
18 07 2022,648.3977051
19 07 2022,648.6381836
20 07 2022,656.8180542
21 07 2022,654.7490234
22 07 2022,670.026062
25 07 2022,671.9989014
26 07 2022,670.6275635
27 07 2022,675.7519531
28 07 2022,681.7425537
29 07 2022,690.0907593
01 08 2022,695.8408203
02 08 2022,688.1901855
03 08 2022,689.802063
04 08 2022,688.9840698
05 08 2022,686.6505127
08 08 2022,703.491394
10 08 2022,705.5362549
11 08 2022,714.8709106
12 08 2022,714.6062012
16 08 2022,722.7861328
17 08 2022,726.5152588
18 08 2022,727.3812866
19 08 2022,718.4075928
22 08 2022,707.4849854
23 08 2022,705.2957153
24 08 2022,708.6879272
25 08 2022,704.838562
26 08 2022,704.9588623
29 08 2022,692.5928955
30 08 2022,715.0634155
01 09 2022,708.3511353
02 09 2022,714.7747192
05 09 2022,719.369873
06 09 2022,716.6271362
07 09 2022,713.2349243
08 09 2022,720.5968628
09 09 2022,721.0780029
12 09 2022,718.6481323
13 09 2022,728.0548706
14 09 2022,735.5371094
15 09 2022,731.711792
16 09 2022,718.2631836
19 09 2022,723.0026855
20 09 2022,731.711792
21 09 2022,730.5810547
22 09 2022,715.0153198
23 09 2022,695.8408203
26 09 2022,686.4580078
27 09 2022,680.2990723
28 09 2022,668.6066895
29 09 2022,665.1422119
30 09 2022,683.9077759
03 10 2022,679.9862671
04 10 2022,699.1367798
06 10 2022,691.4380493
07 10 2022,688.4547729
10 10 2022,680.852356
11 10 2022,673.9476318
12 10 2022,678.3503418
13 10 2022,670.5553589
14 10 2022,692.4004517
17 10 2022,696.0332642
18 10 2022,694.7340698
19 10 2022,701.8554077
20 10 2022,697.1159058
21 10 2022,692.2078857
24 10 2022,703.0101318
25 10 2022,698.1263428
27 10 2022,699.8103638
28 10 2022,701.8793335
31 10 2022,720.1637573
01 11 2022,728.1271362
